;Species;tax.id;Genus;Family;Order;Class;Phylum;Kingdom;Domain;DemersPelag
205;Gnatholepis cauerensis;166748;Gnatholepis;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
206;Gobiodon quinquestrigatus;459508;Gobiodon;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
207;Gomphosus varius;8249;Gomphosus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
208;Gorgasia galzini;1156111;Gorgasia;Congridae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
209;Grammatorcynus bilineatus;372801;Grammatorcynus;Scombridae;Scombriformes;Actinopteri;Chordata;Metazoa;Eukaryota;pelagic
210;Grammistes sexlineatus;270576;Grammistes;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
211;Gunnellichthys monostigma;86213;Gunnellichthys;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
212;Gymnapogon urospilotus;638135;Gymnapogon;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
213;Gymnomuraena zebra;876649;Gymnomuraena;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
214;Gymnosarda unicolor;372805;Gymnosarda;Scombridae;Scombriformes;Actinopteri;Chordata;Metazoa;Eukaryota;pelagic
215;Gymnothorax buroensis;876628;Gymnothorax;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
216;Gymnothorax chilospilus;473452;Gymnothorax;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
217;Gymnothorax fimbriatus;473455;Gymnothorax;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
218;Gymnothorax flavimarginatus;217850;Gymnothorax;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
219;Gymnothorax formosus;1678198;Gymnothorax;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
220;Gymnothorax fuscomaculatus;1146971;Gymnothorax;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
221;Gymnothorax gracilicauda;876629;Gymnothorax;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
222;Gymnothorax javanicus;473457;Gymnothorax;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
223;Gymnothorax margaritophorus;473393;Gymnothorax;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
224;Gymnothorax melatremus;700632;Gymnothorax;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
225;Gymnothorax meleagris;473458;Gymnothorax;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
226;Gymnothorax pictus;876633;Gymnothorax;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
227;Gymnothorax pindae;1604524;Gymnothorax;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
228;Gymnothorax sp. MOH141;2861088;Gymnothorax;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
229;Gymnothorax undulatus;473461;Gymnothorax;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
230;Halichoeres claudia;1200944;Halichoeres;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
231;Halichoeres hortulanus;241293;Halichoeres;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
232;Halichoeres margaritaceus;241294;Halichoeres;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
233;Halichoeres marginatus;241295;Halichoeres;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
234;Halichoeres trimaculatus;147232;Halichoeres;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
235;Hemigymnus fasciatus;290114;Hemigymnus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
236;Hemitaurichthys polylepis;109914;Hemitaurichthys;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
237;Heniochus acuminatus;109917;Heniochus;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
238;Heniochus chrysostomus;109925;Heniochus;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
239;Heniochus monoceros;466131;Heniochus;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
240;Heteropriacanthus cruentatus;342441;Heteropriacanthus;Priacanthidae;Priacanthiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
241;Hime japonica;136300;Hime;Aulopidae;Aulopiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
242;Hologymnosus annulatus;317482;Hologymnosus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
243;Homo sapiens;9606;Homo;Hominidae;Primates;Mammalia;Chordata;Metazoa;Eukaryota;NA
244;Iniistius pavo;990596;Iniistius;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
245;Istiompax indica;13603;Istiompax;Istiophoridae;Istiophoriformes;Actinopteri;Chordata;Metazoa;Eukaryota;pelagic
246;Katsuwonus pelamis;8226;Katsuwonus;Scombridae;Scombriformes;Actinopteri;Chordata;Metazoa;Eukaryota;pelagic
247;Kaupichthys diodontus;1146974;Kaupichthys;Chlopsidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
248;Kuhlia mugil;163137;Kuhlia;Kuhliidae;Centrarchiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
