;Species;tax.id;Genus;Family;Order;Class;Phylum;Kingdom;Domain;DemersPelag
1;Abantennarius coccineus;2919613;Abantennarius;Antennariidae;Lophiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
2;Abudefduf septemfasciatus;229092;Abudefduf;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
3;Abudefduf sexfasciatus;80948;Abudefduf;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
4;Abudefduf sordidus;192870;Abudefduf;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
5;Abudefduf vaigiensis;192871;Abudefduf;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
6;Acanthurus achilles;753643;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
7;Acanthurus guttatus;75013;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
8;Acanthurus leucopareius;1828454;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
9;Acanthurus lineatus;483362;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
10;Acanthurus nigricans;175431;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
11;Acanthurus nigricauda;753644;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
12;Acanthurus nigrofuscus;12913;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
13;Acanthurus nigros;2745939;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
14;Acanthurus olivaceus;238053;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
15;Acanthurus pyroferus;175433;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
16;Acanthurus reversus;1567455;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
17;Acanthurus thompsoni;175434;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
18;Acanthurus triostegus;175435;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
19;Acanthurus xanthopterus;75014;Acanthurus;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
20;Albula glossodonta;121402;Albula;Albulidae;Albuliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
21;Alticus simplicirrus;1892326;Alticus;Blenniidae;Blenniiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
22;Aluterus scriptus;303710;Aluterus;Monacanthidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
23;Amanses scopas;245707;Amanses;Monacanthidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
24;Amblycirrhitus bimacula;529471;Amblycirrhitus;Cirrhitidae;Centrarchiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
25;Amblyeleotris marquesas;2589286;Amblyeleotris;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
26;Amblygobius phalaena;166732;Amblygobius;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
27;Amphiprion chrysopterus;229071;Amphiprion;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
28;Anampses caeruleopunctatus;241263;Anampses;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
29;Anampses melanurus;1119051;Anampses;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
30;Anampses meleagrides;347726;Anampses;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
31;Anampses twistii;317474;Anampses;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
32;Antennatus tuberosus;882772;Antennatus;Antennariidae;Lophiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
33;Aphareus furca;396779;Aphareus;Lutjanidae;Lutjaniformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
34;Apogon lativittatus;1567464;Apogon;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
35;Apogon marquesensis;2589346;Apogon;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
36;Apogonichthys ocellatus;1147079;Apogonichthys;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
37;Aprion virescens;396781;Aprion;Lutjanidae;Lutjaniformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
38;Arothron hispidus;300221;Arothron;Tetraodontidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
39;Arothron meleagris;342437;Arothron;Tetraodontidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
40;Aspidontus taeniatus;587044;Aspidontus;Blenniidae;Blenniiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
41;Asterropteryx semipunctata;151713;Asterropteryx;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
42;Aulostomus chinensis;150448;Aulostomus;Aulostomidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
43;Balistapus undulatus;392899;Balistapus;Balistidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
44;Balistoides viridescens;303705;Balistoides;Balistidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
45;Blenniella gibbifrons;1146954;Blenniella;Blenniidae;Blenniiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
46;Bodianus axillaris;242809;Bodianus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
47;Boops boops;36219;Boops;Sparidae;Spariformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
48;Bothus mancus;1156090;Bothus;Bothidae;Pleuronectiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
49;Bothus pantherinus;366905;Bothus;Bothidae;Pleuronectiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
50;Brotula multibarbata;417945;Brotula;Ophidiidae;Ophidiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
51;Callechelys catostoma;1156454;Callechelys;Ophichthidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
52;Callionymus marquesensis;2589345;Callionymus;Callionymidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
53;Callionymus simplicicornis;1156457;Callionymus;Callionymidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
54;Callogobius sclateri;166739;Callogobius;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
55;Calotomus carolinus;188112;Calotomus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
56;Cantherhines dumerilii;303712;Cantherhines;Monacanthidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
57;Cantherhines pardalis;1003697;Cantherhines;Monacanthidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
58;Canthigaster amboinensis;303742;Canthigaster;Tetraodontidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
59;Canthigaster axiologus;1207433;Canthigaster;Tetraodontidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
60;Canthigaster bennetti;303744;Canthigaster;Tetraodontidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
61;Canthigaster janthinoptera;303755;Canthigaster;Tetraodontidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
62;Canthigaster rapaensis;1207435;Canthigaster;Tetraodontidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
63;Canthigaster solandri;303743;Canthigaster;Tetraodontidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
64;Canthigaster valentini;223152;Canthigaster;Tetraodontidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
65;Caracanthus maculatus;274728;Caracanthus;Caracanthidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
66;Caracanthus unipinna;1146959;Caracanthus;Caracanthidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
67;Carangoides ferdau;454062;Carangoides;Carangidae;Carangiformes;Actinopteri;Chordata;Metazoa;Eukaryota;both
68;Caranx ignobilis;376895;Caranx;Carangidae;Carangiformes;Actinopteri;Chordata;Metazoa;Eukaryota;both
69;Caranx lugubris;1156094;Caranx;Carangidae;Carangiformes;Actinopteri;Chordata;Metazoa;Eukaryota;both
70;Caranx melampygus;181461;Caranx;Carangidae;Carangiformes;Actinopteri;Chordata;Metazoa;Eukaryota;both
71;Caranx sexfasciatus;173346;Caranx;Carangidae;Carangiformes;Actinopteri;Chordata;Metazoa;Eukaryota;both
72;Carcharhinus amblyrhynchos;263684;Carcharhinus;Carcharhinidae;Carcharhiniformes;Chondrichthyes;Chordata;Metazoa;Eukaryota;reef-associated
73;Carcharhinus falciformis;202609;Carcharhinus;Carcharhinidae;Carcharhiniformes;Chondrichthyes;Chordata;Metazoa;Eukaryota;reef-associated
74;Carcharhinus galapagensis;671159;Carcharhinus;Carcharhinidae;Carcharhiniformes;Chondrichthyes;Chordata;Metazoa;Eukaryota;reef-associated
75;Carcharhinus leucas;46612;Carcharhinus;Carcharhinidae;Carcharhiniformes;Chondrichthyes;Chordata;Metazoa;Eukaryota;reef-associated
76;Carcharhinus limbatus;61865;Carcharhinus;Carcharhinidae;Carcharhiniformes;Chondrichthyes;Chordata;Metazoa;Eukaryota;reef-associated
77;Carcharhinus melanopterus;263686;Carcharhinus;Carcharhinidae;Carcharhiniformes;Chondrichthyes;Chordata;Metazoa;Eukaryota;reef-associated
78;Centropyge bispinosa;586785;Centropyge;Pomacanthidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
79;Centropyge fisheri;367075;Centropyge;Pomacanthidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
80;Centropyge flavissima;586787;Centropyge;Pomacanthidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
81;Centropyge heraldi;586788;Centropyge;Pomacanthidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
82;Centropyge hotumatua;2584973;Centropyge;Pomacanthidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
83;Centropyge loriculus;586789;Centropyge;Pomacanthidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
84;Centropyge multicolor;586790;Centropyge;Pomacanthidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
85;Centropyge nigriocellus;2923461;Centropyge;Pomacanthidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
86;Cephalopholis argus;309930;Cephalopholis;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
87;Cephalopholis leopardus;327771;Cephalopholis;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
88;Cephalopholis sexmaculata;334913;Cephalopholis;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
89;Cephalopholis spiloparaea;1146960;Cephalopholis;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
90;Cephalopholis urodeta;160709;Cephalopholis;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
91;Chaetodon auriga;39042;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
92;Chaetodon bennetti;466113;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
93;Chaetodon citrinellus;109686;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
94;Chaetodon ephippium;109689;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
95;Chaetodon flavirostris;109690;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
96;Chaetodon kleinii;109691;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
97;Chaetodon lineolatus;109693;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
98;Chaetodon lunula;109694;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
99;Chaetodon lunulatus;281677;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
100;Chaetodon mertensii;39032;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
101;Chaetodon ornatissimus;109700;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
102;Chaetodon pelewensis;39039;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
103;Chaetodon quadrimaculatus;146141;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
104;Chaetodon reticulatus;281676;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
105;Chaetodon trichrous;281678;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
106;Chaetodon trifascialis;109706;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
107;Chaetodon ulietensis;109708;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
108;Chaetodon unimaculatus;281679;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
109;Chaetodon vagabundus;109709;Chaetodon;Chaetodontidae;Chaetodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
110;Chanos chanos;29144;Chanos;Chanidae;Gonorynchiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
111;Cheilinus chlorourus;290105;Cheilinus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
112;Cheilinus oxycephalus;241270;Cheilinus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
113;Cheilinus trilobatus;290113;Cheilinus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
114;Cheilinus undulatus;241271;Cheilinus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
115;Cheilio inermis;241273;Cheilio;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
116;Cheilodipterus artus;638131;Cheilodipterus;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
117;Cheilodipterus macrodon;490318;Cheilodipterus;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
118;Cheilodipterus quinquelineatus;1146961;Cheilodipterus;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
119;Cheilopogon spilonotopterus;293914;Cheilopogon;Exocoetidae;Beloniformes;Actinopteri;Chordata;Metazoa;Eukaryota;pelagic
120;Chlorurus frontalis;1156098;Chlorurus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
121;Chlorurus microrhinos;544414;Chlorurus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
122;Chlorurus spilurus;1236054;Chlorurus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
123;Chromis abrupta;1567457;Chromis;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
124;Chromis acares;997966;Chromis;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
125;Chromis agilis;229076;Chromis;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
126;Chromis agilis;229076;Chromis;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
127;Chromis alpha;646013;Chromis;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
128;Chromis atripectoralis;229078;Chromis;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
129;Chromis bami;1268081;Chromis;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
130;Chromis fatuhivae;1567458;Chromis;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
131;Chromis flavapicis;1567459;Chromis;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
132;Chromis iomelas;161900;Chromis;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
133;Chromis margaritifer;229082;Chromis;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
134;Chromis vanderbilti;997969;Chromis;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
135;Chromis viridis;80977;Chromis;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
136;Chromis xanthura;646018;Chromis;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
137;Chrysiptera brownriggii;498267;Chrysiptera;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
138;Chrysiptera galba;229101;Chrysiptera;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
139;Chrysiptera glauca;229119;Chrysiptera;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
140;Cirrhilabrus exquisitus;586801;Cirrhilabrus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
141;Cirrhilabrus scottorum;586805;Cirrhilabrus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
142;Cirrhitichthys oxycephalus;342438;Cirrhitichthys;Cirrhitidae;Centrarchiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
